CO_MUNICIPIO_GESTOR,QTLeitosSUS,QT_NaoSUS,QTLeitosExist,DVLeitos,EXTLeitosPediatrico,QTProfissionais,QTUnidades,QTCNES,DVtpunidade,DVcotpunidade,DVcotpestab,QTHospitais,QTClinicas,QTLaboratorios,QTConsultorios,QTUnidadesBasicas,Municipio,Mesoregiao,RegionaldeSaude,DensidadeDemografica_2010_,PopulacaoEstimada_2021_,IdadeMediaPop,PopRelPediatrica,PopRelIdoso,IDHM_2010_,PIBPerCapita_2020_,PacientesEnv,PacientesRec
220117,0.0,0.0,0.0,0.0,0.0,25.0,3.0,3.0,3.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,Barra D'Alcântara,Centro Norte Piauiense,Vale Do Sambito,14.63,3953,35.21,26.66,13.57,577,10170.31,17.0,0.0
220975,0.0,0.0,0.0,0.0,0.0,28.0,3.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,São Gonçalo do Gurguéia,Sudoeste Piauiense,Chapada Das Mangabeiras,2.04,3071,31.3,31.96,9.31,560,17604.18,7.5,0.0
220130,0.0,0.0,0.0,0.0,0.0,31.0,4.0,4.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,Barreiras do Piauí,Sudoeste Piauiense,Chapada Das Mangabeiras,1.59,3356,32.13,31.36,10.36,557,37497.16,8.5,0.0
220192,0.0,0.0,0.0,0.0,0.0,39.0,4.0,4.0,3.0,1.0,3.0,0.0,0.0,1.0,0.0,2.0,Bonfim do Piauí,Sudoeste Piauiense,Serra Da Capivara,18.65,5700,33.79,27.18,11.72,542,8610.57,31.5,0.0
220273,0.0,0.0,0.0,0.0,0.0,31.0,4.0,4.0,4.0,1.0,3.0,0.0,0.0,1.0,0.0,2.0,Coivaras,Centro Norte Piauiense,Entre Rios,7.85,4044,34.25,27.07,12.57,565,9645.55,20.5,0.0
220342,0.0,0.0,0.0,0.0,0.0,27.0,4.0,4.0,4.0,1.0,4.0,0.0,0.0,1.0,0.0,2.0,Domingos Mourão,Centro Norte Piauiense,Cocais,5.04,4352,32.5,31.19,11.93,550,9576.01,10.0,0.0
220415,0.0,0.0,0.0,0.0,0.0,24.0,4.0,4.0,4.0,1.0,3.0,0.0,0.0,1.0,0.0,2.0,Francisco Macedo,Sudeste Piauiense,Vale Do Rio Guaribas,18.54,3216,34.41,25.32,11.5,553,10864.74,7.0,0.0
220785,0.0,0.0,0.0,0.0,0.0,28.0,4.0,4.0,3.0,1.0,3.0,0.0,0.0,1.0,0.0,2.0,Pavussu,Sudoeste Piauiense,Vale Dos Rios Piauì E Itaueiras,3.36,3662,35.0,26.32,12.48,526,9690.34,13.0,0.0
221038,0.0,0.0,0.0,0.0,0.0,25.0,4.0,4.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,São Miguel da Baixa Grande,Centro Norte Piauiense,Vale Do Sambito,5.49,2456,36.63,24.79,15.5,563,10330.77,6.0,0.0
220080,0.0,0.0,0.0,0.0,0.0,36.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,1.0,0.0,2.0,Antônio Almeida,Sudoeste Piauiense,Tabuleiros Do Alto Parnaìba,4.71,3175,34.42,26.62,11.73,620,41997.77,16.0,0.0
220157,0.0,0.0,0.0,0.0,0.0,26.0,5.0,5.0,4.0,1.0,3.0,0.0,1.0,0.0,0.0,3.0,Belém do Piauí,Sudeste Piauiense,Vale Do Rio Guaribas,13.5,3607,34.78,25.21,11.98,551,11097.62,12.5,0.0
220177,0.0,0.0,0.0,0.0,0.0,46.0,5.0,5.0,3.0,1.0,3.0,0.0,0.0,1.0,0.0,3.0,Boa Hora,Norte Piauiense,Carnaubais,18.65,6848,31.65,30.91,10.36,575,9327.21,28.5,0.0
220272,0.0,0.0,0.0,0.0,0.0,52.5,5.0,5.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,Cocal dos Alves,Norte Piauiense,Planície Litorânea,15.58,6180,32.58,28.75,9.87,498,8828.28,23.5,0.0
220325,0.0,0.0,0.0,0.0,0.0,31.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,1.0,0.0,2.0,Curralinhos,Centro Norte Piauiense,Entre Rios,12.09,4475,32.66,29.84,11.15,555,7820.74,20.5,0.0
220558,0.0,0.0,0.0,0.0,0.0,28.0,5.0,5.0,4.0,1.0,3.0,0.0,0.0,1.0,0.0,3.0,Lagoa do Piauí,Centro Norte Piauiense,Entre Rios,9.05,4086,33.48,27.24,10.87,583,16365.94,17.0,0.0
220630,0.0,0.0,0.0,0.0,0.0,14.0,5.0,5.0,5.0,1.0,5.0,0.0,0.0,1.0,0.0,1.0,Miguel Leão,Centro Norte Piauiense,Entre Rios,13.4,1239,32.64,30.09,10.86,623,17413.14,6.5,0.0
220775,0.0,0.0,0.0,0.0,0.0,37.0,5.0,5.0,4.0,1.0,4.0,0.0,1.0,1.0,0.0,2.0,Passagem Franca do Piauí,Centro Norte Piauiense,Entre Rios,5.35,4331,32.45,28.86,10.61,561,9598.89,13.0,0.0
220955,0.0,0.0,0.0,0.0,0.0,31.0,5.0,5.0,3.0,1.0,3.0,0.0,0.0,1.0,0.0,3.0,São Braz do Piauí,Sudoeste Piauiense,Serra Da Capivara,6.57,4454,34.87,25.67,12.78,596,9053.61,30.0,0.0
221095,0.0,0.0,0.0,0.0,0.0,18.0,5.0,5.0,5.0,1.0,5.0,0.0,0.0,1.0,0.0,1.0,Tamboril do Piauí,Sudoeste Piauiense,Vale Dos Rios Piauì E Itaueiras,1.73,2939,32.41,29.57,10.15,501,10218.68,9.0,0.0
221135,0.0,0.0,0.0,0.0,0.0,39.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,1.0,0.0,3.0,Várzea Branca,Sudoeste Piauiense,Serra Da Capivara,10.9,4930,31.95,30.44,9.63,553,9398.92,30.5,0.0
220155,0.0,0.0,0.0,0.0,0.0,35.0,6.0,6.0,5.0,1.0,5.0,0.0,1.0,1.0,0.0,2.0,Bela Vista do Piauí,Sudeste Piauiense,Vale Do Canindè,7.57,4044,32.94,28.21,10.07,576,10949.65,14.0,0.0
220198,0.0,0.0,0.0,0.0,0.0,27.5,6.0,6.0,5.0,1.0,5.0,0.0,0.0,1.0,0.0,2.0,Brejo do Piauí,Sudoeste Piauiense,Vale Dos Rios Piauì E Itaueiras,1.76,3824,33.48,28.94,11.59,515,10111.06,9.5,0.0
220245,0.0,0.0,0.0,0.0,0.0,31.0,6.0,6.0,5.0,1.0,5.0,0.0,0.0,1.0,0.0,3.0,Capitão Gervásio Oliveira,Sudeste Piauiense,Serra Da Capivara,3.42,4127,33.36,28.41,11.6,553,9485.14,12.5,0.0
220285,0.0,0.0,0.0,0.0,0.0,23.0,6.0,6.0,5.0,1.0,5.0,0.0,1.0,0.0,0.0,3.0,Coronel José Dias,Sudoeste Piauiense,Serra Da Capivara,2.37,4688,34.92,25.77,13.34,546,9406.99,30.5,0.0
220327,0.0,0.0,0.0,0.0,0.0,40.0,6.0,6.0,4.0,1.0,4.0,0.0,0.0,1.0,0.0,3.0,Curral Novo do Piauí,Sudeste Piauiense,Vale Do Rio Guaribas,6.47,5390,29.67,33.94,8.04,527,12172.27,27.5,0.0
220385,0.0,0.0,0.0,0.0,0.0,16.5,6.0,6.0,4.0,1.0,5.0,0.0,0.0,1.0,0.0,3.0,Floresta do Piauí,Sudeste Piauiense,Vale Do Canindè,12.75,2561,36.56,24.61,14.3,538,9532.49,9.0,0.0
220455,0.0,0.0,0.0,0.0,0.0,29.0,6.0,6.0,4.0,1.0,5.0,0.0,0.0,2.0,0.0,3.0,Guaribas,Sudoeste Piauiense,Serra Da Capivara,1.41,4573,28.47,34.52,6.8,508,9296.46,29.0,0.0
220551,0.0,0.0,0.0,0.0,0.0,39.0,6.0,6.0,5.0,1.0,5.0,0.0,0.0,1.0,0.0,3.0,Juazeiro do Piauí,Centro Norte Piauiense,Carnaubais,5.75,5491,32.68,29.95,11.17,570,11055.7,17.5,0.0
220665,0.0,0.0,0.0,0.0,0.0,27.0,6.0,6.0,4.0,1.0,4.0,0.0,0.0,1.0,0.0,4.0,Morro Cabeça no Tempo,Sudoeste Piauiense,Chapada Das Mangabeiras,1.92,4527,30.96,32.82,9.77,542,7749.96,16.0,0.0
220675,0.0,0.0,0.0,0.0,0.0,29.0,6.0,6.0,4.0,1.0,5.0,0.0,0.0,1.0,0.0,4.0,Nossa Senhora de Nazaré,Centro Norte Piauiense,Carnaubais,12.79,4911,36.87,23.56,15.6,586,8695.81,27.5,0.0
220795,0.0,0.0,0.0,0.0,0.0,37.0,6.0,6.0,5.0,1.0,5.0,0.0,1.0,1.0,0.0,2.0,Nova Santa Rita,Sudeste Piauiense,Vale Dos Rios Piauì E Itaueiras,4.6,4392,31.81,30.93,9.46,554,10047.32,19.5,0.0
220887,0.0,0.0,0.0,0.0,0.0,50.5,6.0,6.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,4.0,Ribeira do Piauí,Sudeste Piauiense,Vale Dos Rios Piauì E Itaueiras,4.25,4499,32.72,29.39,10.34,520,41373.16,11.5,0.0
220915,0.0,0.0,0.0,0.0,0.0,34.0,6.0,6.0,5.0,1.0,5.0,0.0,0.0,1.0,0.0,3.0,Santa Cruz dos Milagres,Centro Norte Piauiense,Vale Do Sambito,3.87,4046,34.02,27.92,12.09,577,10275.43,11.5,0.0
221039,0.0,0.0,0.0,0.0,0.0,25.0,6.0,6.0,4.0,1.0,3.0,0.0,0.0,2.0,0.0,3.0,São Miguel do Fidalgo,Sudoeste Piauiense,Vale Dos Rios Piauì E Itaueiras,3.66,3037,32.05,32.46,11.25,535,9378.91,13.5,0.0
221150,0.0,0.0,0.0,0.0,0.0,35.0,6.0,6.0,4.0,1.0,4.0,0.0,0.0,1.0,0.0,3.0,Vera Mendes,Sudeste Piauiense,Vale Do Rio Guaribas,8.73,3082,35.58,26.25,13.05,503,9707.5,13.0,0.0
220005,0.0,0.0,0.0,0.0,0.0,53.0,7.0,7.0,4.0,1.0,4.0,0.0,0.0,1.0,0.0,3.0,Acauã,Sudeste Piauiense,Vale Do Rio Guaribas,5.27,7119,33.16,28.22,10.72,528,8819.73,34.5,0.0
220027,0.0,0.0,0.0,0.0,0.0,39.5,7.0,7.0,5.0,1.0,5.0,0.0,0.0,1.0,0.0,4.0,Alegrete do Piauí,Sudeste Piauiense,Vale Do Rio Guaribas,18.23,4921,34.28,26.31,11.96,585,11207.05,17.0,0.0
220173,0.0,0.0,0.0,0.0,0.0,53.5,7.0,7.0,5.0,1.0,3.0,0.0,0.0,1.0,0.0,3.0,Betânia do Piauí,Sudeste Piauiense,Vale Do Rio Guaribas,10.65,6214,31.12,31.9,9.52,489,9205.41,31.0,0.0
220194,0.0,0.0,0.0,0.0,0.0,37.0,7.0,7.0,4.0,1.0,3.0,0.0,0.0,1.0,0.0,5.0,Boqueirão do Piauí,Centro Norte Piauiense,Carnaubais,22.25,6443,34.63,27.58,13.87,560,8038.99,29.0,0.0
220209,0.0,0.0,0.0,0.0,0.0,47.0,7.0,7.0,3.0,1.0,4.0,0.0,0.0,1.0,0.0,5.0,Caldeirão Grande do Piauí,Sudeste Piauiense,Vale Do Rio Guaribas,11.46,5786,33.16,29.66,11.81,588,29732.7,22.5,0.0
220271,0.0,0.0,0.0,0.0,0.0,26.0,7.0,7.0,4.0,1.0,4.0,0.0,0.0,1.0,0.0,4.0,Cocal de Telha,Centro Norte Piauiense,Carnaubais,16.04,4908,34.8,26.96,12.79,555,9005.05,25.5,0.0
220323,0.0,0.0,0.0,0.0,0.0,34.0,7.0,7.0,5.0,1.0,5.0,0.0,0.0,0.0,0.0,4.0,Currais,Sudoeste Piauiense,Chapada Das Mangabeiras,1.49,4982,31.48,32.19,10.24,542,66303.65,28.0,0.0
220535,0.0,0.0,0.0,0.0,0.0,33.0,7.0,7.0,5.0,1.0,6.0,0.0,0.0,1.0,0.0,3.0,João Costa,Sudeste Piauiense,Serra Da Capivara,1.64,3003,34.05,25.34,11.02,561,21329.08,13.0,0.0
220557,0.0,0.0,0.0,0.0,0.0,53.0,7.0,7.0,5.0,1.0,5.0,0.0,0.0,1.0,0.0,4.0,Lagoa de São Francisco,Centro Norte Piauiense,Cocais,41.26,6795,32.04,31.4,11.27,529,35935.74,24.5,0.0
220755,0.0,0.0,0.0,0.0,0.0,29.0,7.0,7.0,4.0,1.0,4.0,0.0,0.0,1.0,0.0,5.0,Paquetá,Sudeste Piauiense,Vale Do Rio Guaribas,9.25,3931,35.38,26.05,12.5,509,10645.78,10.5,0.0
220793,0.0,0.0,0.0,0.0,0.0,19.0,7.0,7.0,6.0,1.0,6.0,0.0,0.0,1.0,0.0,2.0,Pedro Laurentino,Sudeste Piauiense,Vale Dos Rios Piauì E Itaueiras,2.77,2551,31.88,30.49,8.94,562,10773.67,9.0,0.0
220885,0.0,0.0,0.0,0.0,0.0,26.0,7.0,7.0,6.0,1.0,5.0,0.0,0.0,1.0,0.0,3.0,Riacho Frio,Sudoeste Piauiense,Chapada Das Mangabeiras,1.91,4306,30.63,32.23,8.37,541,10302.28,8.0,0.0
220935,0.0,0.0,0.0,0.0,0.0,28.0,7.0,7.0,5.0,1.0,5.0,0.0,1.0,1.0,0.0,4.0,Santana do Piauí,Sudeste Piauiense,Vale Do Rio Guaribas,34.84,4650,35.72,24.73,13.16,574,8441.59,13.0,0.0
220945,0.0,0.0,0.0,0.0,0.0,16.5,7.0,7.0,4.0,1.0,3.0,0.0,0.0,1.0,0.0,5.0,Santo Antônio dos Milagres,Centro Norte Piauiense,Entre Rios,62.12,2172,31.81,31.52,10.1,619,7728.84,9.5,0.0
220965,0.0,0.0,0.0,0.0,0.0,42.0,7.0,7.0,4.0,1.0,4.0,0.0,0.0,3.0,0.0,3.0,São Francisco de Assis do Piauí,Sudeste Piauiense,Vale Do Canindè,5.06,5801,32.1,30.41,9.66,485,9122.43,17.5,0.0
220985,0.0,0.0,0.0,0.0,0.0,35.0,7.0,7.0,5.0,1.0,5.0,0.0,0.0,1.0,0.0,4.0,São João da Canabrava,Sudeste Piauiense,Vale Do Rio Guaribas,9.26,4619,36.06,26.82,14.75,559,10170.74,18.0,0.0
221037,0.0,0.0,0.0,0.0,0.0,14.0,7.0,7.0,4.0,1.0,3.0,0.0,0.0,1.0,0.0,5.0,São Luis do Piauí,Sudeste Piauiense,Vale Do Rio Guaribas,11.62,2648,34.95,27.65,13.4,554,9391.28,6.5,0.0
220095,0.0,0.0,0.0,0.0,0.0,16.0,8.0,8.0,4.0,1.0,3.0,0.0,0.0,2.0,0.0,5.0,Aroeiras do Itaim,Sudeste Piauiense,Vale Do Rio Guaribas,9.49,2551,37.62,21.93,15.28,519,10072.06,6.5,0.0
220205,0.0,0.0,0.0,0.0,0.0,53.0,8.0,8.0,6.0,1.0,5.0,0.0,1.0,1.0,0.0,4.0,Cabeceiras do Piauí,Norte Piauiense,Carnaubais,16.31,10671,34.4,25.99,12.07,583,7465.54,40.5,0.0
220211,0.0,0.0,0.0,0.0,0.0,36.0,8.0,8.0,5.0,1.0,4.0,0.0,0.0,2.0,0.0,3.0,Campo Alegre do Fidalgo,Sudeste Piauiense,Serra Da Capivara,7.13,5093,31.97,28.94,9.52,537,9345.47,14.0,0.0
220213,0.0,0.0,0.0,0.0,0.0,40.0,8.0,8.0,5.0,1.0,4.0,0.0,1.0,2.0,0.0,4.0,Campo Grande do Piauí,Sudeste Piauiense,Vale Do Rio Guaribas,17.93,5987,33.84,26.15,10.94,560,10597.8,18.0,0.0
220255,0.0,0.0,0.0,0.0,0.0,38.0,8.0,8.0,6.0,1.0,5.0,0.0,0.0,1.0,0.0,4.0,Caridade do Piauí,Sudeste Piauiense,Vale Do Rio Guaribas,9.63,5102,31.64,29.55,10.21,541,9877.66,21.5,0.0
220265,0.0,0.0,0.0,0.0,0.0,38.0,8.0,8.0,5.0,1.0,5.0,0.0,0.0,1.0,0.0,5.0,Caxingó,Norte Piauiense,Planície Litorânea,10.32,5477,30.39,32.21,8.63,488,9220.78,26.5,0.0
220275,0.0,0.0,0.0,0.0,0.0,44.0,8.0,8.0,4.0,1.0,6.0,0.0,0.0,1.0,0.0,5.0,Colônia do Gurguéia,Sudoeste Piauiense,Chapada Das Mangabeiras,14.02,6545,32.71,29.78,11.17,628,9784.95,19.5,0.0
220527,0.0,0.0,0.0,0.0,0.0,25.0,8.0,8.0,4.0,1.0,4.0,0.0,0.0,1.0,0.0,5.0,Jatobá do Piauí,Centro Norte Piauiense,Carnaubais,7.13,4885,36.64,24.27,14.93,566,10570.54,25.5,0.0
220554,0.0,0.0,0.0,0.0,0.0,24.0,8.0,8.0,4.0,1.0,4.0,0.0,0.0,2.0,0.0,5.0,Lagoinha do Piauí,Centro Norte Piauiense,Entre Rios,39.35,2870,34.28,27.93,12.51,597,13026.61,17.0,0.0
220667,0.0,0.0,0.0,0.0,0.0,54.0,8.0,8.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,6.0,Morro do Chapéu do Piauí,Norte Piauiense,Cocais,19.8,6825,31.4,30.74,9.87,550,8654.41,34.5,0.0
220669,0.0,0.0,0.0,0.0,0.0,61.0,8.0,8.0,4.0,1.0,5.0,0.0,0.0,1.0,0.0,6.0,Murici dos Portelas,Norte Piauiense,Planície Litorânea,17.57,9258,30.52,32.83,9.27,530,7666.11,27.0,0.0
220672,0.0,0.0,0.0,0.0,0.0,60.5,8.0,8.0,5.0,1.0,6.0,0.0,0.0,1.0,0.0,4.0,Nazária,Centro Norte Piauiense,Entre Rios,22.19,8632,33.11,29.36,11.51,602,11166.15,42.5,0.0
220710,0.0,0.0,0.0,0.0,0.0,20.0,8.0,8.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,6.0,Olho D'Água do Piauí,Centro Norte Piauiense,Entre Rios,11.96,2477,33.51,30.81,12.12,576,10536.77,9.0,0.0
220930,0.0,0.0,0.0,0.0,0.0,37.0,8.0,8.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,7.0,Santa Luz,Sudoeste Piauiense,Chapada Das Mangabeiras,4.65,5903,32.27,30.17,10.56,588,9592.38,32.0,0.0
221160,0.0,0.0,0.0,0.0,0.0,27.0,8.0,8.0,5.0,1.0,5.0,0.0,0.0,1.0,0.0,5.0,Vila Nova do Piauí,Sudeste Piauiense,Vale Do Rio Guaribas,14.09,2935,36.47,22.6,11.77,565,11939.48,8.0,0.0
220207,0.0,0.0,0.0,0.0,0.0,31.0,9.0,9.0,6.0,1.0,7.0,0.0,0.0,1.0,0.0,5.0,Cajazeiras do Piauí,Sudeste Piauiense,Vale Do Canindè,6.5,3586,33.55,28.18,12.5,562,8489.11,13.0,0.0
220210,0.0,0.0,0.0,0.0,0.0,43.0,9.0,9.0,6.0,1.0,5.0,0.0,0.0,1.0,0.0,5.0,Campinas do Piauí,Sudeste Piauiense,Vale Do Canindè,6.51,5628,34.81,27.72,12.98,544,9334.61,19.0,0.0
220253,0.0,0.0,0.0,0.0,0.0,38.0,9.0,9.0,6.0,1.0,5.0,0.0,0.0,1.0,0.0,5.0,Caraúbas do Piauí,Norte Piauiense,Planície Litorânea,11.72,5910,31.96,30.71,10.41,505,9359.66,22.0,0.0
220340,0.0,0.0,0.0,0.0,0.0,49.0,9.0,9.0,4.0,1.0,4.0,0.0,0.0,1.0,0.0,7.0,Dom Expedito Lopes,Sudeste Piauiense,Vale Do Rio Guaribas,29.99,6940,35.41,24.01,11.44,601,11379.18,22.5,0.0
220345,0.0,0.0,0.0,0.0,0.0,73.0,9.0,9.0,6.0,1.0,4.0,0.0,1.0,1.0,0.0,5.0,Dom Inocêncio,Sudoeste Piauiense,Serra Da Capivara,2.39,9574,34.97,26.2,12.96,549,10043.03,27.0,0.0
220460,0.0,0.0,0.0,0.0,0.0,31.0,9.0,9.0,6.0,1.0,6.0,0.0,0.0,1.0,0.0,5.0,Hugo Napoleão,Centro Norte Piauiense,Entre Rios,16.8,3880,34.72,26.7,12.46,599,8229.71,14.0,0.0
