CO_MUNICIPIO_GESTOR,QTLeitosSUS,QT_NaoSUS,QTLeitosExist,DVLeitos,EXTLeitosPediatrico,QTProfissionais,QTUnidades,QTCNES,DVtpunidade,DVcotpunidade,DVcotpestab,QTHospitais,QTClinicas,QTLaboratorios,QTConsultorios,QTUnidadesBasicas,Municipio,Mesoregiao,RegionaldeSaude,DensidadeDemografica_2010_,PopulacaoEstimada_2021_,IdadeMediaPop,PopRelPediatrica,PopRelIdoso,IDHM_2010_,PIBPerCapita_2020_,PacientesEnv,PacientesRec
220552,0.0,0.0,0.0,0.0,0.0,44.0,9.0,9.0,7.0,1.0,6.0,0.0,1.0,1.0,0.0,4.0,Júlio Borges,Sudoeste Piauiense,Chapada Das Mangabeiras,4.14,5653,32.44,30.33,11.38,582,13124.27,25.5,0.0
220735,0.0,0.0,0.0,0.0,0.0,22.0,9.0,9.0,4.0,1.0,3.0,0.0,0.0,1.0,0.0,7.0,Pajeú do Piauí,Sudoeste Piauiense,Vale Dos Rios Piauì E Itaueiras,3.12,3416,36.56,26.17,14.56,559,14362.24,7.0,0.0
220777,0.0,0.0,0.0,0.0,0.0,36.0,9.0,9.0,3.0,1.0,3.0,0.0,0.0,1.0,0.0,7.0,Patos do Piauí,Sudeste Piauiense,Vale Do Rio Guaribas,8.12,6420,36.0,25.81,14.24,563,8910.23,16.5,0.0
220779,0.0,0.0,0.0,0.0,0.0,34.0,9.0,9.0,6.0,1.0,6.0,0.0,0.0,1.0,0.0,5.0,Pau D'Arco do Piauí,Centro Norte Piauiense,Entre Rios,8.72,4084,33.69,30.05,12.62,514,7799.23,15.0,0.0
221062,0.0,0.0,0.0,0.0,0.0,33.5,9.0,9.0,5.0,1.0,4.0,0.0,0.0,1.0,0.0,6.0,Sebastião Barros,Sudoeste Piauiense,Chapada Das Mangabeiras,3.98,3434,31.24,32.44,9.62,536,12095.66,6.0,0.0
221063,0.0,0.0,0.0,0.0,0.0,33.0,9.0,9.0,5.0,1.0,5.0,0.0,1.0,1.0,0.0,5.0,Sebastião Leal,Sudoeste Piauiense,Tabuleiros Do Alto Parnaìba,1.31,4311,33.35,28.03,11.1,562,40903.41,18.0,0.0
221093,0.0,0.0,0.0,0.0,0.0,38.0,9.0,9.0,6.0,1.0,7.0,0.0,1.0,2.0,0.0,4.0,Sussuapara,Sudeste Piauiense,Vale Do Rio Guaribas,29.7,6801,36.43,23.43,13.77,586,10800.55,43.0,0.0
221097,0.0,0.0,0.0,0.0,0.0,23.0,9.0,9.0,6.0,1.0,7.0,0.0,1.0,1.0,0.0,5.0,Tanque do Piauí,Sudeste Piauiense,Vale Do Canindè,6.57,2781,34.31,27.48,12.32,579,11869.59,12.5,0.0
220045,0.0,0.0,0.0,0.0,0.0,48.0,10.0,10.0,5.0,1.0,5.0,0.0,0.0,1.0,0.0,5.0,Alvorada do Gurguéia,Sudoeste Piauiense,Chapada Das Mangabeiras,2.37,5469,30.54,32.75,8.99,578,13717.24,20.5,0.0
220105,0.0,0.0,0.0,0.0,0.0,58.0,10.0,10.0,6.0,1.0,4.0,0.0,0.0,1.0,0.0,6.0,Assunção do Piauí,Centro Norte Piauiense,Carnaubais,4.44,7879,30.16,34.84,9.33,499,7026.24,24.0,0.0
220208,0.0,0.0,0.0,0.0,0.0,57.0,10.0,10.0,6.0,1.0,5.0,0.0,0.0,1.0,0.0,4.0,Cajueiro da Praia,Norte Piauiense,Planície Litorânea,26.36,7704,33.06,28.09,11.2,546,12111.96,26.5,0.0
220435,0.0,0.0,0.0,0.0,0.0,33.0,10.0,10.0,4.0,1.0,3.0,0.0,0.0,2.0,0.0,7.0,Geminiano,Sudeste Piauiense,Vale Do Rio Guaribas,11.84,5477,34.03,27.15,11.56,561,10318.12,21.0,0.0
220515,0.0,0.0,0.0,0.0,0.0,67.0,10.0,10.0,7.0,1.0,6.0,0.0,2.0,1.0,0.0,3.0,Jacobina do Piauí,Sudeste Piauiense,Vale Do Rio Guaribas,4.17,5718,34.16,25.18,10.22,535,10244.47,18.5,0.0
220635,0.0,0.0,0.0,0.0,0.0,53.0,10.0,10.0,4.0,1.0,6.0,0.0,0.0,1.0,0.0,7.0,Milton Brandão,Centro Norte Piauiense,Cocais,4.93,6603,32.72,29.81,10.39,508,8248.41,32.5,0.0
220995,0.0,0.0,0.0,0.0,0.0,27.0,10.0,10.0,5.0,1.0,5.0,0.0,0.0,1.0,0.0,7.0,São João da Varjota,Sudeste Piauiense,Vale Do Canindè,11.77,4856,33.2,28.66,11.81,559,7098.86,18.5,0.0
221035,0.0,0.0,0.0,0.0,0.0,38.0,10.0,10.0,5.0,1.0,5.0,0.0,0.0,1.0,0.0,7.0,São Lourenço do Piauí,Sudoeste Piauiense,Serra Da Capivara,6.58,4581,36.83,23.38,14.45,595,8883.89,30.0,0.0
220217,0.0,0.0,0.0,0.0,0.0,42.0,11.0,11.0,6.0,1.0,4.0,0.0,0.0,1.0,0.0,7.0,Campo Largo do Piauí,Norte Piauiense,Cocais,14.24,7342,29.42,34.04,8.36,528,7119.85,28.5,0.0
220465,0.0,0.0,0.0,0.0,0.0,71.5,11.0,11.0,6.0,1.0,5.0,0.0,2.0,1.0,0.0,6.0,Ilha Grande,Norte Piauiense,Planície Litorânea,66.36,9487,32.89,29.59,11.65,563,8467.91,42.0,0.0
220556,0.0,0.0,0.0,0.0,0.0,40.5,11.0,11.0,6.0,1.0,6.0,0.0,0.0,1.0,0.0,7.0,Lagoa do Barro do Piauí,Sudeste Piauiense,Serra Da Capivara,3.58,4658,33.27,27.59,12.02,502,75766.6,19.5,0.0
220605,0.0,0.0,0.0,0.0,0.0,43.0,11.0,11.0,5.0,1.0,4.0,0.0,0.0,1.0,0.0,8.0,Massapê do Piauí,Sudeste Piauiense,Vale Do Rio Guaribas,11.94,6456,34.74,27.28,13.43,525,8209.64,19.0,0.0
220865,0.0,0.0,0.0,0.0,0.0,84.5,11.0,11.0,8.0,1.0,7.0,0.0,1.0,2.0,0.0,3.0,Queimada Nova,Sudeste Piauiense,Vale Do Rio Guaribas,6.32,9041,33.98,26.65,11.71,515,13252.51,32.0,0.0
220525,0.0,0.0,0.0,0.0,0.0,37.0,12.0,12.0,7.0,1.0,7.0,0.0,1.0,1.0,0.0,7.0,Jardim do Mulato,Centro Norte Piauiense,Entre Rios,8.45,4522,34.55,27.06,12.25,593,7711.23,20.0,0.0
220695,0.0,0.0,0.0,0.0,0.0,31.0,12.0,12.0,6.0,1.0,6.0,0.0,0.0,1.0,0.0,7.0,Novo Santo Antônio,Centro Norte Piauiense,Carnaubais,6.77,3014,35.14,26.62,13.04,528,9389.81,15.5,0.0
220997,0.0,0.0,0.0,0.0,0.0,51.0,12.0,12.0,5.0,1.0,4.0,0.0,0.0,1.0,0.0,9.0,São João do Arraial,Norte Piauiense,Cocais,34.38,8085,31.5,31.4,10.46,523,7770.35,46.5,0.0
221005,0.0,0.0,0.0,0.0,0.0,42.5,12.0,12.0,7.0,1.0,7.0,0.0,0.0,1.0,0.0,6.0,São José do Divino,Norte Piauiense,Cocais,16.13,5361,33.02,25.98,9.73,565,10462.58,14.0,0.0
220559,0.0,0.0,0.0,0.0,0.0,31.0,18.0,18.0,5.0,1.0,3.0,0.0,0.0,2.0,0.0,12.0,Lagoa do Sítio,Centro Norte Piauiense,Vale Do Sambito,6.03,5219,34.8,27.28,12.23,541,8801.75,27.5,0.0
220070,0.0,0.0,0.0,2.0,0.0,68.0,7.0,7.0,5.0,1.0,7.0,0.0,0.0,1.0,0.0,2.0,Anísio de Abreu,Sudoeste Piauiense,Serra Da Capivara,26.93,9994,32.32,28.72,10.4,594,9298.27,38.0,0.0
220280,0.0,0.0,0.0,2.0,1.0,34.0,7.0,7.0,6.0,1.0,6.0,0.0,0.0,0.0,0.0,3.0,Conceição do Canindé,Sudeste Piauiense,Vale Do Canindè,5.38,4811,35.12,27.62,13.86,589,12393.67,20.5,0.0
220555,0.0,0.0,0.0,2.0,1.0,43.5,7.0,7.0,5.0,1.0,5.0,0.0,1.0,0.0,0.0,4.0,Lagoa Alegre,Centro Norte Piauiense,Entre Rios,20.29,8610,32.17,30.42,11.58,550,8532.94,35.0,0.0
220937,0.0,0.0,0.0,2.0,1.0,37.0,7.0,7.0,5.0,1.0,5.0,0.0,0.0,1.0,0.0,4.0,Santa Rosa do Piauí,Sudeste Piauiense,Vale Do Canindè,15.14,5254,34.33,27.9,12.32,567,8853.54,20.5,0.0
220980,0.0,0.0,0.0,2.0,1.0,27.0,7.0,7.0,5.0,1.0,5.0,0.0,1.0,0.0,0.0,3.0,São Gonçalo do Piauí,Centro Norte Piauiense,Entre Rios,31.65,5044,33.14,28.9,10.81,616,10104.23,19.5,0.0
220191,0.0,0.0,0.0,2.0,1.0,45.5,8.0,8.0,7.0,1.0,6.0,0.0,0.0,1.0,0.0,3.0,Bom Princípio do Piauí,Norte Piauiense,Planície Litorânea,10.17,5670,32.82,29.06,10.98,532,11027.67,28.0,0.0
220553,0.0,0.0,0.0,2.0,1.0,35.0,8.0,8.0,6.0,1.0,6.0,0.0,0.0,1.0,0.0,3.0,Jurema,Sudoeste Piauiense,Serra Da Capivara,3.55,4790,33.04,27.63,11.41,555,9002.88,27.5,0.0
220335,0.0,0.0,0.0,2.0,1.0,45.0,9.0,9.0,6.0,1.0,5.0,0.0,0.0,2.0,0.0,4.0,Dirceu Arcoverde,Sudoeste Piauiense,Serra Da Capivara,6.56,7046,34.75,26.01,12.86,561,8847.46,43.0,0.0
220560,8.0,0.0,8.0,2.0,0.0,43.0,9.0,9.0,7.0,1.0,7.0,1.0,0.0,1.0,0.0,4.0,Landri Sales,Sudoeste Piauiense,Vale Dos Rios Piauì E Itaueiras,4.85,5272,35.45,27.72,14.06,584,16600.66,19.5,0.0
220680,0.0,0.0,0.0,2.0,1.0,55.0,9.0,9.0,5.0,1.0,5.0,0.0,0.0,0.0,0.0,5.0,Nossa Senhora dos Remédios,Norte Piauiense,Cocais,22.89,8751,30.79,31.84,9.37,533,8561.5,27.0,0.0
221010,0.0,0.0,0.0,2.0,1.0,27.0,9.0,9.0,6.0,1.0,7.0,0.0,0.0,1.0,0.0,5.0,São José do Peixe,Sudoeste Piauiense,Vale Dos Rios Piauì E Itaueiras,2.87,3737,33.98,30.38,12.31,573,10577.53,9.5,0.0
221065,0.0,0.0,0.0,2.0,1.0,61.0,9.0,9.0,6.0,1.0,7.0,0.0,1.0,1.0,0.0,5.0,Sigefredo Pacheco,Centro Norte Piauiense,Carnaubais,9.95,10074,35.0,26.26,12.62,581,7520.14,42.0,0.0
220730,0.0,0.0,0.0,2.0,1.0,37.5,10.0,10.0,8.0,1.0,7.0,0.0,1.0,1.0,1.0,4.0,Paes Landim,Sudeste Piauiense,Vale Dos Rios Piauì E Itaueiras,10.11,4124,33.39,29.0,11.81,575,10482.02,23.0,4.0
220940,0.0,0.0,0.0,2.0,1.0,38.0,11.0,11.0,6.0,1.0,7.0,0.0,1.0,1.0,0.0,6.0,Santo Antônio de Lisboa,Sudeste Piauiense,Vale Do Rio Guaribas,15.51,6466,35.54,25.76,13.09,584,11138.37,17.5,0.0
220690,0.0,0.0,0.0,2.0,1.0,56.0,12.0,12.0,6.0,1.0,5.0,0.0,0.0,1.0,0.0,8.0,Novo Oriente do Piauí,Centro Norte Piauiense,Vale Do Sambito,12.37,6548,36.29,24.98,14.76,562,8112.51,26.5,0.0
221020,0.0,0.0,0.0,2.0,1.0,42.0,12.0,12.0,6.0,1.0,6.0,0.0,0.0,0.0,0.0,8.0,São José do Piauí,Sudeste Piauiense,Vale Do Rio Guaribas,18.06,6696,35.41,26.08,13.57,552,10166.95,23.5,0.0
220010,0.0,0.0,0.0,2.0,1.0,39.0,13.0,13.0,8.0,1.0,9.0,0.0,1.0,1.0,0.0,7.0,Agricolândia,Centro Norte Piauiense,Entre Rios,45.35,5123,36.04,25.95,15.45,599,8453.12,29.0,9.0
220310,0.0,0.0,0.0,2.0,1.0,88.5,15.0,15.0,8.0,1.0,8.0,0.0,1.0,1.0,0.0,9.0,Cristino Castro,Sudoeste Piauiense,Chapada Das Mangabeiras,5.41,10464,31.98,30.09,10.45,566,10948.51,107.0,56.0
220670,0.0,0.0,0.0,2.0,1.0,53.5,15.0,15.0,8.0,1.0,8.0,0.0,0.0,1.0,0.0,9.0,Nazaré do Piauí,Sudoeste Piauiense,Vale Dos Rios Piauì E Itaueiras,5.56,7307,35.34,26.91,14.28,576,8830.34,22.5,0.0
220060,0.0,0.0,0.0,2.0,1.0,55.0,16.0,16.0,7.0,1.0,10.0,0.0,0.0,3.0,0.0,8.0,Angical do Piauí,Centro Norte Piauiense,Entre Rios,29.86,6779,36.88,25.46,15.09,630,9859.8,30.5,0.0
220570,43.0,0.0,43.0,2.0,1.0,171.0,28.0,28.0,11.0,1.0,9.0,1.0,4.0,1.0,0.0,15.0,Luís Correia,Norte Piauiense,Planície Litorânea,26.52,30558,32.26,28.12,9.65,541,11442.15,132.0,20.0
220600,0.0,0.0,0.0,3.0,1.0,30.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,3.0,Marcos Parente,Sudoeste Piauiense,Vale Dos Rios Piauì E Itaueiras,6.58,4546,35.07,26.88,13.2,590,10555.49,16.0,0.0
220987,14.0,0.0,14.0,3.0,1.0,34.0,6.0,6.0,4.0,1.0,4.0,1.0,0.0,1.0,0.0,3.0,São João da Fronteira,Norte Piauiense,Cocais,7.33,6084,31.69,32.46,10.86,515,9475.72,13.0,0.0
221140,0.0,0.0,0.0,3.0,1.0,33.0,6.0,6.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,Várzea Grande,Centro Norte Piauiense,Vale Do Sambito,18.29,4382,36.41,25.34,14.37,571,9115.19,16.5,0.0
220950,0.0,0.0,0.0,3.0,1.0,33.0,7.0,7.0,6.0,1.0,6.0,0.0,0.0,1.0,0.0,2.0,Santo Inácio do Piauí,Sudeste Piauiense,Vale Do Canindè,4.28,3809,36.04,24.73,12.61,613,9867.06,17.0,0.0
220990,0.0,0.0,0.0,3.0,1.0,37.0,7.0,7.0,6.0,1.0,5.0,0.0,0.0,1.0,0.0,3.0,São João da Serra,Centro Norte Piauiense,Carnaubais,6.12,6106,36.33,26.06,15.1,582,9737.59,28.5,0.0
220202,0.0,0.0,0.0,3.0,1.0,54.0,8.0,8.0,6.0,1.0,5.0,0.0,1.0,0.0,0.0,4.0,Buriti dos Montes,Centro Norte Piauiense,Carnaubais,3.01,8282,33.34,28.84,11.61,574,8364.81,22.0,0.0
220400,0.0,0.0,0.0,3.0,1.0,40.0,8.0,8.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,6.0,Francinópolis,Centro Norte Piauiense,Vale Do Sambito,19.48,5345,35.61,26.69,14.44,564,7817.02,17.0,0.0
220585,0.0,0.0,0.0,3.0,1.0,49.0,8.0,8.0,5.0,1.0,6.0,0.0,0.0,0.0,0.0,4.0,Madeiro,Norte Piauiense,Cocais,44.12,8372,30.06,32.02,8.57,563,7725.7,35.5,0.0
220030,0.0,0.0,0.0,3.0,1.0,98.0,9.0,9.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,7.0,Alto Longá,Centro Norte Piauiense,Entre Rios,7.85,14371,35.86,25.02,13.54,585,8341.81,50.5,19.0
220960,0.0,0.0,0.0,3.0,1.0,22.0,9.0,9.0,6.0,1.0,6.0,0.0,0.0,1.0,0.0,5.0,São Félix do Piauí,Centro Norte Piauiense,Vale Do Sambito,4.67,2923,39.02,22.31,17.89,610,10564.33,11.5,3.5
220025,0.0,0.0,0.0,3.0,1.0,51.0,10.0,10.0,6.0,1.0,5.0,0.0,0.0,1.0,0.0,6.0,Alagoinha do Piauí,Sudeste Piauiense,Vale Do Rio Guaribas,13.77,7678,36.04,23.29,12.69,531,8772.48,30.5,17.5
220090,0.0,0.0,0.0,3.0,1.0,47.0,10.0,10.0,7.0,1.0,6.0,0.0,1.0,1.0,0.0,5.0,Aroazes,Centro Norte Piauiense,Vale Do Sambito,7.03,5819,36.24,25.44,14.67,583,9489.48,31.0,0.0
220196,0.0,0.0,0.0,3.0,1.0,57.0,10.0,10.0,7.0,1.0,7.0,0.0,0.0,1.0,0.0,4.0,Brasileira,Norte Piauiense,Cocais,9.04,8364,34.6,26.04,12.35,577,7817.64,26.0,0.0
220545,0.0,0.0,0.0,3.0,1.0,41.5,10.0,10.0,8.0,1.0,6.0,0.0,0.0,1.0,0.0,3.0,Joca Marques,Norte Piauiense,Cocais,30.64,5488,30.73,29.86,9.0,504,8209.22,30.5,0.0
220115,0.0,0.0,0.0,3.0,1.0,90.0,11.0,11.0,4.0,1.0,4.0,0.0,1.0,0.0,0.0,8.0,Baixa Grande do Ribeiro,Sudoeste Piauiense,Tabuleiros Do Alto Parnaìba,1.35,11751,28.32,34.93,6.34,564,105367.32,29.5,0.0
220890,0.0,0.0,0.0,3.0,1.0,55.0,11.0,11.0,6.0,1.0,7.0,0.0,0.0,1.0,0.0,6.0,Ribeiro Gonçalves,Sudoeste Piauiense,Tabuleiros Do Alto Parnaìba,1.72,7408,30.53,32.05,8.76,601,62510.95,27.5,19.0
220740,0.0,0.0,0.0,3.0,1.0,31.0,12.0,12.0,7.0,1.0,6.0,0.0,0.0,1.0,0.0,7.0,Palmeira do Piauí,Sudoeste Piauiense,Chapada Das Mangabeiras,2.47,5029,32.08,30.62,10.26,557,25623.29,24.0,0.0
220420,0.0,0.0,0.0,3.0,1.0,52.0,13.0,13.0,5.0,1.0,4.0,0.0,0.0,3.0,0.0,5.0,Francisco Santos,Sudeste Piauiense,Vale Do Rio Guaribas,17.47,9423,34.78,25.04,11.47,608,8856.99,26.0,0.0
220850,17.0,0.0,17.0,3.0,1.0,75.5,13.0,13.0,6.0,1.0,6.0,1.0,0.0,0.0,0.0,7.0,Porto,Norte Piauiense,Cocais,47.08,12646,29.53,34.46,8.81,549,8081.11,63.0,23.0
220240,0.0,0.0,0.0,3.0,1.0,70.0,14.0,14.0,7.0,1.0,7.0,0.0,1.0,1.0,0.0,9.0,Capitão de Campos,Centro Norte Piauiense,Cocais,18.5,11471,33.73,27.71,11.74,583,8596.85,36.5,0.0
220250,0.0,0.0,0.0,3.0,1.0,69.5,14.0,14.0,9.0,1.0,10.0,0.0,1.0,2.0,0.0,7.0,Caracol,Sudoeste Piauiense,Serra Da Capivara,6.34,11009,31.25,30.37,9.44,552,9389.49,47.5,0.0
220900,0.0,0.0,0.0,3.0,1.0,44.0,14.0,14.0,9.0,1.0,9.0,0.0,1.0,2.0,0.0,5.0,Rio Grande do Piauí,Sudoeste Piauiense,Vale Dos Rios Piauì E Itaueiras,9.86,6434,35.33,26.43,13.71,572,8894.18,12.5,0.0
220180,0.0,0.0,0.0,3.0,1.0,29.0,15.0,15.0,7.0,1.0,7.0,0.0,0.0,1.0,0.0,8.0,Bocaina,Sudeste Piauiense,Vale Do Rio Guaribas,16.27,4509,38.66,22.03,16.84,632,11796.18,18.5,30.0
220440,0.0,0.0,0.0,3.0,1.0,60.0,15.0,15.0,7.0,1.0,7.0,0.0,0.0,0.0,0.0,8.0,Gilbués,Sudoeste Piauiense,Chapada Das Mangabeiras,2.98,10698,31.02,32.21,9.45,548,28731.95,29.0,0.0
220750,16.0,0.0,16.0,3.0,1.0,87.0,18.0,18.0,10.0,1.0,9.0,1.0,1.0,2.0,0.0,9.0,Palmeirais,Centro Norte Piauiense,Entre Rios,9.17,14633,33.02,30.32,12.23,562,8587.18,44.0,0.0
220640,0.0,0.0,0.0,3.0,1.0,65.5,20.0,20.0,8.0,1.0,8.0,0.0,1.0,1.0,0.0,14.0,Monsenhor Gil,Centro Norte Piauiense,Entre Rios,18.17,10563,35.17,25.49,13.67,615,10232.84,41.5,0.0
220160,0.0,0.0,0.0,3.0,1.0,67.0,21.0,21.0,8.0,1.0,7.0,0.0,0.0,1.0,0.0,13.0,Beneditinos,Centro Norte Piauiense,Entre Rios,12.57,10479,35.15,25.91,13.5,557,8471.44,48.5,12.0
220470,0.0,0.0,0.0,3.0,1.0,97.0,23.0,23.0,11.0,1.0,12.0,0.0,4.0,1.0,1.0,10.0,Inhuma,Centro Norte Piauiense,Vale Do Sambito,15.18,15330,35.0,26.1,12.79,624,9993.08,55.5,9.0
